Datetime,Open_EURUSD,High_EURUSD,Low_EURUSD,Close_EURUSD,Volume_EURUSD,FilledMethod,WasMissing,DataConsistencyFlag,y
2021-07-29 13:00:00,1.18848,1.1886,1.18763,1.18853,6764.0,,False,5m consistent,1
2021-07-29 15:00:00,1.18864,1.18918,1.18824,1.18864,4552.0,,False,5m consistent,1
2021-07-29 23:00:00,1.18916,1.18953,1.18905,1.1891,506.0,,False,5m consistent,0
2021-07-30 05:00:00,1.18791,1.18805,1.1876,1.18791,1304.0,,False,5m consistent,1
2021-07-30 08:00:00,1.1896,1.19093,1.18936,1.19074,3502.0,,False,5m consistent,0
2021-07-30 09:00:00,1.19077,1.19094,1.18966,1.18977,3944.0,,False,5m consistent,0
2021-07-30 10:00:00,1.18979,1.19039,1.18849,1.19018,5280.0,,False,5m consistent,0
2021-07-30 11:00:00,1.19017,1.19055,1.18829,1.18842,5625.0,,False,5m consistent,1
2021-07-30 13:00:00,1.18799,1.18872,1.18755,1.1879,7046.0,,False,5m consistent,0
2021-07-30 17:00:00,1.18598,1.18635,1.18562,1.1862,2657.0,,False,5m consistent,1
2021-08-02 00:00:00,1.18668,1.18721,1.18635,1.18698,1460.0,,False,5m consistent,0
2021-08-02 05:00:00,1.18712,1.18761,1.18669,1.18729,1196.0,,False,5m consistent,1
2021-08-02 09:00:00,1.18855,1.18965,1.1882,1.18961,3124.0,,False,5m consistent,0
2021-08-02 10:00:00,1.18963,1.18978,1.18874,1.18915,3041.0,,False,5m consistent,0
2021-08-02 11:00:00,1.18914,1.18937,1.18813,1.18906,3375.0,,False,5m consistent,0
2021-08-02 14:00:00,1.18815,1.189,1.18767,1.18792,8945.0,,False,5m consistent,0
2021-08-02 15:00:00,1.18793,1.18866,1.1873,1.18735,4894.0,,False,5m consistent,0
2021-08-02 18:00:00,1.1869,1.18746,1.18679,1.18745,1691.0,,False,5m consistent,1
2021-08-03 01:00:00,1.18728,1.1877,1.18688,1.18756,1594.0,,False,5m consistent,1
2021-08-03 04:00:00,1.18752,1.18832,1.1875,1.1881,2465.0,,False,5m consistent,0
2021-08-03 07:00:00,1.18736,1.18847,1.18733,1.1879,5160.0,,False,5m consistent,1
2021-08-03 08:00:00,1.1879,1.18861,1.18745,1.18846,3729.0,,False,5m consistent,1
2021-08-03 11:00:00,1.18884,1.1894,1.18854,1.18932,3073.0,,False,5m consistent,0
2021-08-03 12:00:00,1.18934,1.18934,1.18811,1.18867,4970.0,,False,5m consistent,0
2021-08-03 13:00:00,1.18868,1.18882,1.18623,1.18702,8190.0,,False,5m consistent,0
2021-08-03 16:00:00,1.18593,1.18696,1.18586,1.1869,2799.0,,False,5m consistent,0
2021-08-03 20:00:00,1.18669,1.18672,1.1862,1.1866,737.0,,False,5m consistent,1
2021-08-03 23:00:00,1.18701,1.1871,1.18684,1.18703,346.0,,False,5m consistent,0
2021-08-04 01:00:00,1.18628,1.18721,1.18625,1.18713,1504.0,,False,5m consistent,1
2021-08-04 03:00:00,1.18742,1.18763,1.18733,1.18742,835.0,,False,5m consistent,1
2021-08-04 06:00:00,1.18725,1.18804,1.18695,1.18794,2455.0,,False,5m consistent,0
