iter	Logloss
160	0.5784255954
161	0.5781854602
162	0.577959919
163	0.5777868402
164	0.5776169406
165	0.5773196096
166	0.5771146127
167	0.5768902851
168	0.5767404634
169	0.576492466
170	0.5762894856
171	0.5760603114
172	0.5757514944
173	0.5755967289
174	0.5753796723
175	0.5750871829
176	0.574722802
177	0.5744284039
178	0.5741947968
179	0.5739188847
180	0.5737481164
181	0.57345168
182	0.5731995327
183	0.5729537212
184	0.5727504427
185	0.5725339653
186	0.5723249375
187	0.5721142859
188	0.5719229556
189	0.5717565498
190	0.5715511171
191	0.5713217411
192	0.5711444724
193	0.5707488915
194	0.5704428189
195	0.5703020541
196	0.5700813206
197	0.5698877025
198	0.5695106067
199	0.5693980182
200	0.5692135049
201	0.5689901126
202	0.5687439052
203	0.5683744183
204	0.5681852101
205	0.5680999155
206	0.5678459999
207	0.5676053578
208	0.5674783008
209	0.5671941264
210	0.5667731822
211	0.5666333613
212	0.5663769619
213	0.5660700534
214	0.5657123044
215	0.5655409298
216	0.5652776515
217	0.5651625878
218	0.5649962027
219	0.56480702
220	0.5645561305
221	0.5642743615
222	0.5639976562
223	0.5638103231
224	0.5635475698
225	0.5633109306
226	0.5630410392
227	0.5626930739
228	0.5625828461
229	0.5623037213
230	0.5621080016
231	0.5618462672
232	0.5616660727
233	0.5613973275
234	0.5611989212
235	0.5609286357
236	0.5607944619
237	0.5606631955
238	0.5605123025
239	0.5602507359
240	0.5600233566
241	0.5598536816
242	0.5597558214
243	0.559616565
244	0.559430045
245	0.5592067701
246	0.5588860328
247	0.5585930495
248	0.5584277471
249	0.5582022224
250	0.5579053022
251	0.5577621769
252	0.5574830511
253	0.5572883043
254	0.5571633863
255	0.5569830873
256	0.5568532142
257	0.5567514821
258	0.556594273
259	0.5565098625
260	0.5563517176
261	0.5562082266
262	0.5560989431
263	0.5558565791
264	0.5556122676
265	0.5554261378
266	0.5553000561
267	0.5551017823
268	0.55493552
269	0.5548063345
270	0.554651242
271	0.554491236
272	0.5543932355
273	0.5540979735
274	0.5538617497
275	0.5535969137
276	0.5533436855
277	0.5532197756
278	0.5530110474
279	0.5527852946
280	0.5526691797
281	0.5524975827
282	0.5524507593
283	0.5522981604
284	0.5520747194
285	0.5519954558
286	0.5516353453
287	0.5513263079
288	0.5510786789
289	0.5508526347
290	0.5506080443
291	0.5504831802
292	0.5503528578
293	0.5501870508
294	0.549947327
295	0.5496596249
296	0.5495599065
297	0.5493664995
298	0.5493038811
299	0.5491893566
300	0.5490240733
301	0.548907458
302	0.5486272387
303	0.548374916
304	0.5480765371
305	0.5477158136
306	0.5475162635
307	0.5473516285
308	0.5470777606
309	0.5469132433
310	0.5468153537
311	0.5465895075
312	0.5463675969
313	0.5461927762
314	0.545910725
315	0.5457219483
316	0.5455946218
317	0.5453346331
318	0.5452359109
319	0.545060188
320	0.5448322473
321	0.544612821
322	0.5444274439
323	0.5442689246
324	0.5441867605
325	0.5439629132
326	0.5437594561
327	0.5436205266
328	0.543452544
329	0.5432268307
330	0.5430076452
331	0.5429052573
332	0.5426830197
333	0.542427116
334	0.5420935467
335	0.5417000222
336	0.541512525
337	0.5413782559
338	0.5411317976
339	0.5409048215
340	0.5406219968
341	0.5403936834
342	0.5401910334
343	0.5400093723
344	0.5399253651
345	0.5398077831
346	0.5396207464
347	0.5393858357
348	0.5391048522
349	0.5388230867
350	0.5386430873
351	0.5385087029
352	0.5383350021
353	0.538135921
354	0.5379015581
355	0.5376568261
356	0.5374626775
357	0.537325462
358	0.5371090637
359	0.5370148821
360	0.5368717628
361	0.5367497211
362	0.536562364
363	0.5364341668
364	0.5362434153
365	0.5360553697
366	0.5358472774
367	0.535687464
368	0.5356074232
369	0.5354245928
370	0.5352532507
371	0.5350887854
372	0.5348362472
373	0.5347453543
374	0.5345169021
375	0.5344574309
376	0.534384037
377	0.5343150366
378	0.5342361785
379	0.5340613973
380	0.5339239429
381	0.5337615925
382	0.5336408809
383	0.5334183339
384	0.5331375507
385	0.5330191955
386	0.5329102791
387	0.5327184269
388	0.5325814073
389	0.5323846816
390	0.5321812327
391	0.5319525391
392	0.5317467814
393	0.5316095288
394	0.5313799991
395	0.5312724111
396	0.5310157411
397	0.5307749849
398	0.5305511114
399	0.5304662829
400	0.5301955354
401	0.5300441077
402	0.5297873738
403	0.5295318244
404	0.5293736561
405	0.5292130857
406	0.5291045107
407	0.5289998609
408	0.528875975
409	0.52866584
410	0.5284190228
411	0.5282280671
412	0.5279927206
413	0.5278632977
414	0.5276573232
415	0.5275263787
416	0.5274031589
417	0.5273182995
418	0.5272021147
419	0.527002529
420	0.5268535288
421	0.5266384244
422	0.5263614144
423	0.526251458
424	0.5261853416
425	0.5259992944
426	0.5258671828
427	0.5257454674
428	0.5256694575
429	0.5255813167
430	0.5254875223
431	0.5252885404
432	0.5252161338
433	0.525098053
434	0.5249346332
435	0.5248160041
436	0.524684273
437	0.5245994921
438	0.5244942159
439	0.5243622894
440	0.5241631352
441	0.5240887011
442	0.5239267004
443	0.5237124574
444	0.5235987159
445	0.5235485752
446	0.5232439701
447	0.5231221698
448	0.5229807516
449	0.5227017953
450	0.522631835
451	0.5224644058
452	0.5223380231
453	0.5221486228
454	0.5220034088
455	0.5218266291
456	0.5216908286
457	0.5215049062
458	0.5213675089
459	0.5212278136
460	0.5209765185
461	0.5207775704
462	0.5206015116
463	0.5204518928
464	0.5203539899
465	0.5200867598
466	0.5199652915
467	0.5197585147
468	0.5196012891
469	0.5194798037
470	0.5193690738
471	0.5191779359
472	0.519048606
473	0.5189254202
474	0.5187494731
475	0.5185936996
476	0.5184924278
477	0.5183450073
478	0.5181822641
479	0.5181278721
480	0.5178698933
481	0.5175894836
482	0.5174194136
483	0.5171268232
484	0.5170195006
485	0.5168181889
486	0.5166868806
487	0.5165656369
488	0.5163667127
489	0.5162592249
490	0.5161432994
491	0.5159881564
492	0.5158143938
493	0.5157411834
494	0.5155456985
495	0.5154930401
496	0.5153599644
497	0.5152862865
498	0.5152444007
499	0.5151621466
