Datetime,Open_EURUSD,High_EURUSD,Low_EURUSD,Close_EURUSD,Volume_EURUSD,is_missing,FilledMethod,WasMissing,DataConsistencyFlag
2021-07-29 00:00:00,1.18465,1.18477,1.18414,1.18444,1275.0,False,,False,5m consistent
2021-07-29 01:00:00,1.18444,1.18509,1.18426,1.18502,2461.0,False,,False,5m consistent
2021-07-29 02:00:00,1.18501,1.18584,1.18471,1.18553,2649.0,False,,False,5m consistent
2021-07-29 03:00:00,1.18554,1.18589,1.18517,1.18551,1601.0,False,,False,5m consistent
2021-07-29 04:00:00,1.1855,1.18597,1.18542,1.18571,797.0,False,,False,5m consistent
2021-07-29 05:00:00,1.18572,1.18607,1.18554,1.18562,1320.0,False,,False,5m consistent
2021-07-29 06:00:00,1.18564,1.18643,1.18509,1.1853,4764.0,False,,False,5m consistent
2021-07-29 07:00:00,1.18532,1.18707,1.18525,1.18693,5505.0,False,,False,5m consistent
2021-07-29 08:00:00,1.18691,1.18803,1.18653,1.18772,5108.0,False,,False,5m consistent
2021-07-29 09:00:00,1.18772,1.18787,1.18701,1.18751,3719.0,False,,False,5m consistent
2021-07-29 10:00:00,1.1875,1.1881,1.18731,1.18758,3245.0,False,,False,5m consistent
2021-07-29 11:00:00,1.18761,1.18776,1.18706,1.18722,3359.0,False,,False,5m consistent
2021-07-29 12:00:00,1.18721,1.18862,1.18716,1.1885,6857.0,False,,False,5m consistent
2021-07-29 13:00:00,1.18848,1.1886,1.18763,1.18853,6764.0,False,,False,5m consistent
2021-07-29 14:00:00,1.18855,1.18899,1.18778,1.18863,6895.0,False,,False,5m consistent
2021-07-29 15:00:00,1.18864,1.18918,1.18824,1.18864,4552.0,False,,False,5m consistent
2021-07-29 16:00:00,1.18865,1.18867,1.18791,1.18854,2454.0,False,,False,5m consistent
2021-07-29 17:00:00,1.18853,1.18883,1.18807,1.18876,2244.0,False,,False,5m consistent
2021-07-29 18:00:00,1.18876,1.18922,1.18866,1.1892,1742.0,False,,False,5m consistent
2021-07-29 19:00:00,1.18919,1.18936,1.1888,1.18888,2065.0,False,,False,5m consistent
2021-07-29 20:00:00,1.18889,1.18898,1.18855,1.18879,1290.0,False,,False,5m consistent
2021-07-29 21:00:00,1.18903,1.18931,1.18873,1.18931,103.0,False,,False,inconsistent
2021-07-29 22:00:00,1.18916,1.18928,1.18885,1.18915,376.0,False,,False,5m consistent
2021-07-29 23:00:00,1.18916,1.18953,1.18905,1.1891,506.0,False,,False,5m consistent
2021-07-30 00:00:00,1.18909,1.18926,1.18821,1.18823,2237.0,False,,False,5m consistent
2021-07-30 01:00:00,1.18825,1.18854,1.188,1.1883,1653.0,False,,False,5m consistent
2021-07-30 02:00:00,1.18832,1.18853,1.18795,1.18815,1773.0,False,,False,5m consistent
2021-07-30 03:00:00,1.18814,1.1884,1.18783,1.18792,1255.0,False,,False,5m consistent
2021-07-30 04:00:00,1.18791,1.18821,1.18784,1.18792,688.0,False,,False,5m consistent
2021-07-30 05:00:00,1.18791,1.18805,1.1876,1.18791,1304.0,False,,False,5m consistent
2021-07-30 06:00:00,1.18794,1.18866,1.18758,1.18864,3211.0,False,,False,5m consistent
2021-07-30 07:00:00,1.18862,1.18963,1.18849,1.18961,4403.0,False,,False,5m consistent
