Datetime,Open_EURUSD,High_EURUSD,Low_EURUSD,Close_EURUSD,Volume_EURUSD
2021-07-29 00:00:00.000,1.18469,1.1854,1.18469,1.18483,2579
2021-07-29 01:00:00.000,1.18511,1.18511,1.18441,1.18483,3376
2021-07-29 02:00:00.000,1.18469,1.1854,1.18455,1.1854,2609
2021-07-29 03:00:00.000,1.1854,1.18638,1.18497,1.18582,2026
2021-07-29 04:00:00.000,1.18582,1.18624,1.18554,1.18582,1834
2021-07-29 05:00:00.000,1.18582,1.18652,1.18568,1.18652,2509
2021-07-29 06:00:00.000,1.18596,1.18652,1.18582,1.1861,3816
2021-07-29 07:00:00.000,1.18568,1.18694,1.18554,1.18554,5505
2021-07-29 08:00:00.000,1.18568,1.18765,1.18568,1.18723,5334
2021-07-29 09:00:00.000,1.1868,1.18821,1.1868,1.18793,4353
2021-07-29 10:00:00.000,1.18793,1.18821,1.18737,1.18779,3795
2021-07-29 11:00:00.000,1.18765,1.18864,1.18765,1.18807,4119
2021-07-29 12:00:00.000,1.18793,1.18821,1.18751,1.18765,8674
2021-07-29 13:00:00.000,1.18779,1.18892,1.18751,1.18892,9354
2021-07-29 14:00:00.000,1.18878,1.18892,1.18807,1.18878,8693
2021-07-29 15:00:00.000,1.18906,1.18963,1.18821,1.18892,6416
2021-07-29 16:00:00.000,1.18878,1.18963,1.18864,1.18892,4827
2021-07-29 17:00:00.000,1.18892,1.18906,1.18821,1.18878,4077
2021-07-29 18:00:00.000,1.18878,1.18934,1.18835,1.18906,3597
2021-07-29 19:00:00.000,1.18906,1.18977,1.18892,1.18948,3269
2021-07-29 20:00:00.000,1.18948,1.19005,1.18906,1.1892,1609
2021-07-29 21:00:00.000,1.18906,1.18948,1.18878,1.1892,773
2021-07-29 22:00:00.000,1.18977,1.18991,1.18864,1.1892,1036
2021-07-29 23:00:00.000,1.18906,1.18977,1.18906,1.18934,1191
2021-07-30 00:00:00.000,1.18948,1.19019,1.18934,1.18934,2514
2021-07-30 01:00:00.000,1.18948,1.18963,1.1885,1.1885,3297
2021-07-30 02:00:00.000,1.18864,1.1892,1.18835,1.1885,2556
2021-07-30 03:00:00.000,1.18864,1.18906,1.18821,1.1885,2190
2021-07-30 04:00:00.000,1.1885,1.18906,1.18821,1.18821,1970
2021-07-30 05:00:00.000,1.18821,1.18864,1.18807,1.18864,2481
2021-07-30 06:00:00.000,1.18807,1.18835,1.18793,1.18821,3820
2021-07-30 07:00:00.000,1.1885,1.1892,1.18793,1.18892,5227
2021-07-30 08:00:00.000,1.18906,1.19033,1.18878,1.19033,5130
2021-07-30 09:00:00.000,1.18977,1.19104,1.18977,1.19104,4253
2021-07-30 10:00:00.000,1.19076,1.19147,1.19005,1.19005,3656
2021-07-30 11:00:00.000,1.18977,1.19062,1.18892,1.19048,3813
2021-07-30 12:00:00.000,1.19076,1.19076,1.18864,1.18878,7280
2021-07-30 13:00:00.000,1.18892,1.19005,1.18821,1.18835,8332
2021-07-30 14:00:00.000,1.18835,1.18906,1.18793,1.18835,9135
2021-07-30 15:00:00.000,1.18878,1.18878,1.18582,1.18638,6550
2021-07-30 16:00:00.000,1.18638,1.18723,1.18596,1.1868,4407
2021-07-30 17:00:00.000,1.18652,1.18666,1.18624,1.18624,3395
2021-07-30 18:00:00.000,1.1861,1.1868,1.18596,1.18652,3045
2021-07-30 19:00:00.000,1.18652,1.18666,1.18582,1.18596,2688
2021-07-30 20:00:00.000,1.18596,1.18708,1.18596,1.18666,1760
2021-07-30 21:00:00.000,1.18652,1.18793,1.18638,1.18737,1567
2021-07-30 22:00:00.000,1.18708,1.18708,1.18708,1.18708,1027
2021-08-02 00:00:00.000,1.18708,1.18723,1.18652,1.18694,2588
2021-08-02 01:00:00.000,1.18694,1.18779,1.18666,1.18723,3288
2021-08-02 02:00:00.000,1.18751,1.18751,1.18652,1.1868,2454
2021-08-02 03:00:00.000,1.18708,1.18751,1.18624,1.18751,1911
2021-08-02 04:00:00.000,1.18779,1.18793,1.18737,1.18751,1691
2021-08-02 05:00:00.000,1.18779,1.18793,1.18737,1.18751,2212
2021-08-02 06:00:00.000,1.18737,1.18807,1.18694,1.18751,3491
2021-08-02 07:00:00.000,1.18751,1.18864,1.18694,1.1885,4918
2021-08-02 08:00:00.000,1.18878,1.1892,1.18821,1.18864,4631
2021-08-02 09:00:00.000,1.1885,1.18948,1.18835,1.18892,3915
2021-08-02 10:00:00.000,1.18892,1.19019,1.1885,1.19019,3393
2021-08-02 11:00:00.000,1.18977,1.19005,1.18906,1.18948,3494
2021-08-02 12:00:00.000,1.18948,1.19005,1.1885,1.18948,4760
2021-08-02 13:00:00.000,1.1892,1.18963,1.18765,1.18765,6217
2021-08-02 14:00:00.000,1.18765,1.1892,1.18765,1.18864,7141
2021-08-02 15:00:00.000,1.18892,1.1892,1.18793,1.1885,5075
2021-08-02 16:00:00.000,1.18821,1.18878,1.18765,1.18765,3588
2021-08-02 17:00:00.000,1.18765,1.18793,1.18708,1.18723,2743
2021-08-02 18:00:00.000,1.18737,1.18751,1.18694,1.18737,2730
2021-08-02 19:00:00.000,1.18708,1.18793,1.18708,1.18765,2555
2021-08-02 20:00:00.000,1.18779,1.18821,1.18708,1.18737,1358
2021-08-02 21:00:00.000,1.18751,1.18793,1.18723,1.18751,856
2021-08-02 22:00:00.000,1.18765,1.18835,1.18737,1.18765,890
2021-08-02 23:00:00.000,1.18751,1.18835,1.18751,1.18821,1003
2021-08-03 00:00:00.000,1.18779,1.18821,1.18751,1.18779,2437
2021-08-03 01:00:00.000,1.18779,1.1885,1.18751,1.18751,3158
2021-08-03 02:00:00.000,1.18765,1.18807,1.18723,1.18793,2533
2021-08-03 03:00:00.000,1.18793,1.18807,1.18737,1.18737,2092
2021-08-03 04:00:00.000,1.18737,1.18821,1.18737,1.18779,1891
